name,nation,team,position,Cluster
Joshua Acheampong,ENG,Chelsea,DF,0
Tyler Adams,USA,Bournemouth,MF,3
Tosin Adarabioyo,ENG,Chelsea,DF,0
Simon Adingra,CIV,Brighton,"FW,MF",0
Emmanuel Agbadou,CIV,Wolves,DF,0
Ola Aina,NGA,Nott'ham Forest,DF,3
Kristoffer Ajer,NOR,Brentford,DF,0
Manuel Akanji,SUI,Manchester City,DF,3
Nathan Aké,NED,Manchester City,DF,0
Carlos Alcaraz,ARG,Everton,"FW,MF",0
Trent Alexander-Arnold,ENG,Liverpool,DF,3
Alisson,BRA,Liverpool,GK,2
Alexis Mac Allister,ARG,Liverpool,MF,3
Miguel Almirón,PAR,Newcastle Utd,FW,0
Harry Amass,ENG,Manchester Utd,DF,0
Joachim Andersen,DEN,Fulham,DF,3
Elliot Anderson,ENG,Nott'ham Forest,MF,3
André,BRA,Wolves,MF,3
Michail Antonio,JAM,West Ham,FW,0
Antony,BRA,Manchester Utd,"DF,MF",0
Julian Araujo,MEX,Bournemouth,DF,0
Cameron Archer,ENG,Southampton,FW,0
Alphonse Areola,FRA,West Ham,GK,2
Joe Aribo,NGA,Southampton,"MF,DF",3
Adam Armstrong,ENG,Southampton,"FW,MF",0
Kepa Arrizabalaga,ESP,Bournemouth,GK,2
Marco Asensio,ESP,Aston Villa,"MF,FW",0
Taiwo Awoniyi,NGA,Nott'ham Forest,FW,0
Yasin Ayari,SWE,Brighton,MF,3
Jordan Ayew,GHA,Leicester City,"FW,MF",0
Rayan Aït-Nouri,ALG,Wolves,DF,3
Benoît Badiashile,FRA,Chelsea,DF,0
Leon Bailey,JAM,Aston Villa,"FW,MF",0
Carlos Baleba,CMR,Brighton,MF,3
Ross Barkley,ENG,Aston Villa,MF,0
Harvey Barnes,ENG,Newcastle Utd,FW,1
Calvin Bassey,NGA,Fulham,DF,3
Altay Bayındır,TUR,Manchester Utd,GK,0
Jan Bednarek,POL,Southampton,DF,3
Jean-Ricner Bellegarde,FRA,Wolves,"MF,FW",1
Rodrigo Bentancur,URU,Tottenham,MF,3
Sepp van den Berg,NED,Brentford,DF,3
Sander Berge,NOR,Fulham,MF,3
Lucas Bergvall,SWE,Tottenham,MF,0
Beto,GNB,Everton,FW,0
Jaden Philogene Bidace,ENG,Aston Villa,"FW,MF",0
Jaden Philogene Bidace,ENG,Ipswich Town,"FW,DF",0
Philip Billing,DEN,Bournemouth,MF,0
Yves Bissouma,MLI,Tottenham,MF,3
Lamare Bogarde,NED,Aston Villa,"DF,MF",0
Willy Boly,CIV,Nott'ham Forest,DF,0
Sven Botman,NED,Newcastle Utd,DF,0
Jarrod Bowen,ENG,West Ham,"FW,MF",1
Conor Bradley,NIR,Liverpool,DF,0
Jarrad Branthwaite,ENG,Everton,DF,3
James Bree,ENG,Southampton,DF,0
Ben Brereton,CHI,Southampton,FW,0
Nathan Broadhead,WAL,Ipswich Town,"MF,FW",0
Armando Broja,ALB,Everton,FW,0
David Brooks,WAL,Bournemouth,"FW,MF",0
Kevin De Bruyne,BEL,Manchester City,"MF,FW",1
Emi Buendía,ARG,Aston Villa,"MF,FW",0
Santiago Bueno,URU,Wolves,DF,3
Facundo Buonanotte,ARG,Leicester City,"FW,MF",1
