name,nation,team,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,GA90,Save%,CS%,PK_Save%,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_xG,per90_xAG,SoT%,SoT/90,G/Sh,Dist,Pass_Cmp,Pass_Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,GCA,GCA90,Tkl,TklW,Challenges_Att,Challenges_Lost,Blocks,Blocks_SH,Blocks_Pass,Blocks_Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Take_Att,Take_Succ%,Take_Tkld%,Carries,Carries_ProDist,Carries_ProgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,REC,REC_PrgR,Fls,Fld,Off,Crs,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%
Joshua Acheampong,ENG,Chelsea,DF,19.0,4.0,2.0,170.0,0.0,0.0,1.0,0.0,0.2,0.0,N/a,N/a,N/a,N/a,0.0,8.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,8.9,104.0,83.9,2025.0,90.6,92.6,55.0,0.0,6.0,0.0,0.0,8.0,2.0,1.06,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,137.0,7.0,48.0,81.0,8.0,3.0,2.0,50.0,0.0,106.0,409.0,0.0,2.0,0.0,2.0,0.0,111.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,6.0,14.3
Tyler Adams,USA,Bournemouth,MF,26.0,25.0,18.0,1710.0,0.0,3.0,7.0,0.0,1.6,1.0,N/a,N/a,N/a,N/a,12.0,65.0,9.0,0.0,0.16,0.08,0.05,25.0,0.11,0.0,16.1,757.0,83.6,11872.0,88.7,88.0,54.7,16.0,57.0,2.0,1.0,65.0,37.0,1.95,4.0,0.21,75.0,46.0,66.0,31.0,33.0,10.0,23.0,32.0,1151.0,53.0,308.0,661.0,194.0,17.0,16.0,18.8,56.3,554.0,1183.0,12.0,17.0,1.0,27.0,12.0,630.0,9.0,41.0,19.0,0.0,3.0,0.0,100.0,29.0,17.0,63.0
Tosin Adarabioyo,ENG,Chelsea,DF,27.0,20.0,13.0,1229.0,1.0,1.0,3.0,0.0,0.9,0.2,N/a,N/a,N/a,N/a,5.0,37.0,1.0,0.07,0.07,0.07,0.02,16.7,0.15,0.08,12.5,988.0,91.4,18105.0,95.7,94.9,61.1,1.0,53.0,1.0,0.0,37.0,12.0,0.88,1.0,0.07,14.0,10.0,12.0,4.0,9.0,7.0,2.0,10.0,1198.0,160.0,570.0,603.0,26.0,13.0,5.0,80.0,0.0,713.0,1690.0,5.0,2.0,0.0,3.0,0.0,916.0,1.0,8.0,6.0,1.0,0.0,0.0,34.0,36.0,26.0,58.1
Simon Adingra,CIV,Brighton,"FW,MF",23.0,26.0,10.0,956.0,2.0,1.0,0.0,0.0,2.2,1.8,N/a,N/a,N/a,N/a,37.0,14.0,119.0,0.19,0.09,0.21,0.17,28.0,0.66,0.08,16.2,255.0,76.1,3699.0,87.0,74.0,55.6,13.0,5.0,12.0,5.0,14.0,39.0,3.68,7.0,0.66,23.0,14.0,22.0,12.0,12.0,0.0,12.0,8.0,488.0,8.0,63.0,158.0,272.0,64.0,48.0,43.8,56.3,324.0,1042.0,37.0,17.0,20.0,35.0,11.0,341.0,119.0,11.0,3.0,2.0,35.0,0.0,41.0,6.0,3.0,66.7
Emmanuel Agbadou,CIV,Wolves,DF,27.0,13.0,13.0,1140.0,0.0,0.0,2.0,0.0,0.3,0.2,N/a,N/a,N/a,N/a,3.0,22.0,1.0,0.0,0.0,0.02,0.02,16.7,0.08,0.0,31.8,663.0,85.0,13505.0,91.7,92.7,61.0,4.0,26.0,1.0,0.0,22.0,15.0,1.18,2.0,0.16,27.0,18.0,17.0,6.0,16.0,12.0,4.0,9.0,924.0,155.0,527.0,381.0,22.0,5.0,10.0,70.0,20.0,572.0,1230.0,3.0,3.0,0.0,3.0,3.0,615.0,1.0,5.0,4.0,1.0,1.0,0.0,66.0,22.0,16.0,57.9
Ola Aina,NGA,Nott'ham Forest,DF,28.0,32.0,32.0,2733.0,2.0,1.0,3.0,0.0,0.6,1.1,N/a,N/a,N/a,N/a,59.0,97.0,56.0,0.07,0.03,0.02,0.04,20.0,0.07,0.2,25.9,893.0,73.3,13813.0,88.4,73.7,36.4,15.0,78.0,20.0,9.0,97.0,58.0,1.91,3.0,0.1,54.0,41.0,63.0,28.0,32.0,12.0,20.0,31.0,1550.0,148.0,568.0,647.0,364.0,21.0,68.0,45.6,36.8,675.0,2524.0,59.0,40.0,10.0,40.0,22.0,737.0,56.0,21.0,34.0,2.0,47.0,0.0,173.0,13.0,18.0,41.9
Kristoffer Ajer,NOR,Brentford,DF,27.0,22.0,17.0,1405.0,0.0,0.0,5.0,0.0,0.8,1.2,N/a,N/a,N/a,N/a,27.0,54.0,42.0,0.0,0.0,0.05,0.08,37.5,0.19,0.0,10.2,489.0,78.1,7626.0,86.7,79.7,49.1,8.0,42.0,7.0,4.0,54.0,18.0,1.15,2.0,0.13,25.0,17.0,26.0,12.0,17.0,4.0,13.0,12.0,773.0,52.0,260.0,359.0,160.0,35.0,16.0,43.8,50.0,378.0,1172.0,27.0,11.0,2.0,15.0,12.0,481.0,42.0,12.0,6.0,1.0,14.0,0.0,42.0,27.0,22.0,55.1
Manuel Akanji,SUI,Manchester City,DF,29.0,23.0,20.0,1744.0,0.0,0.0,3.0,0.0,0.7,0.4,N/a,N/a,N/a,N/a,38.0,138.0,6.0,0.0,0.0,0.04,0.02,10.0,0.05,0.0,16.3,1427.0,93.9,23477.0,95.9,95.4,75.3,9.0,153.0,11.0,2.0,138.0,34.0,1.75,2.0,0.1,16.0,11.0,13.0,5.0,11.0,8.0,3.0,7.0,1635.0,111.0,487.0,797.0,353.0,11.0,2.0,100.0,0.0,1071.0,3362.0,38.0,52.0,0.0,4.0,5.0,1291.0,6.0,16.0,9.0,0.0,11.0,0.0,89.0,26.0,29.0,47.3
Nathan Aké,NED,Manchester City,DF,30.0,10.0,8.0,678.0,0.0,0.0,0.0,0.0,0.2,0.0,N/a,N/a,N/a,N/a,12.0,50.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,10.0,509.0,93.9,8321.0,98.0,97.1,58.8,1.0,42.0,1.0,0.0,50.0,8.0,1.06,0.0,0.0,9.0,7.0,6.0,2.0,7.0,2.0,5.0,3.0,596.0,51.0,205.0,331.0,61.0,5.0,1.0,100.0,0.0,403.0,1501.0,12.0,12.0,1.0,4.0,3.0,449.0,2.0,2.0,0.0,0.0,1.0,0.0,24.0,13.0,10.0,56.5
Carlos Alcaraz,ARG,Everton,"FW,MF",22.0,12.0,5.0,580.0,1.0,2.0,4.0,0.0,1.3,1.5,N/a,N/a,N/a,N/a,15.0,37.0,17.0,0.16,0.31,0.21,0.23,31.6,0.93,0.05,20.4,184.0,79.0,3288.0,85.4,88.3,61.3,11.0,15.0,18.0,3.0,37.0,26.0,4.03,4.0,0.62,11.0,5.0,9.0,6.0,6.0,1.0,5.0,4.0,311.0,10.0,51.0,139.0,130.0,15.0,16.0,56.3,31.3,180.0,576.0,15.0,17.0,2.0,11.0,11.0,206.0,17.0,10.0,9.0,1.0,10.0,0.0,29.0,12.0,6.0,66.7
Trent Alexander-Arnold,ENG,Liverpool,DF,26.0,31.0,28.0,2296.0,3.0,6.0,5.0,0.0,1.8,6.7,N/a,N/a,N/a,N/a,50.0,221.0,90.0,0.12,0.24,0.07,0.26,18.6,0.31,0.07,23.3,1397.0,73.6,26692.0,89.9,76.2,48.6,50.0,198.0,63.0,20.0,221.0,94.0,3.68,10.0,0.39,70.0,49.0,103.0,55.0,26.0,9.0,17.0,30.0,2173.0,86.0,578.0,976.0,633.0,44.0,35.0,45.7,48.6,1139.0,2780.0,50.0,35.0,9.0,19.0,15.0,1384.0,90.0,11.0,8.0,1.0,145.0,0.0,129.0,3.0,13.0,18.8
